"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/14 8:54:39 AM UTC+1","Homme","16 à 29 ans","35000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/14 9:53:02 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/14 9:54:46 AM UTC+1","Homme","30 à 49 ans","66000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/14 10:21:14 AM UTC+1","Femme","16 à 29 ans","66380","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/14 10:49:22 AM UTC+1","Femme","16 à 29 ans","49000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/14 10:57:00 AM UTC+1","Femme","16 à 29 ans","66100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/14 12:02:12 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Dépliant;Exposition"
"2020/10/14 12:45:21 PM UTC+1","Femme","30 à 49 ans","78000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web;Exposition"
"2020/10/14 12:54:46 PM UTC+1","Femme","16 à 29 ans","92150","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/14 1:27:29 PM UTC+1","Femme","16 à 29 ans","49340","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/14 1:28:14 PM UTC+1","Femme","16 à 29 ans","79000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/14 1:32:30 PM UTC+1","Femme","16 à 29 ans","56390","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/14 2:10:24 PM UTC+1","Femme","16 à 29 ans","56500","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/14 2:12:26 PM UTC+1","Homme","> 65 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Je ne sais pas","Non","Non","Non","aucun !"
"2020/10/14 2:35:10 PM UTC+1","Homme","16 à 29 ans","56890","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/14 2:37:48 PM UTC+1","Homme","16 à 29 ans","04140","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/14 2:53:35 PM UTC+1","Femme","16 à 29 ans","66700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/14 3:34:13 PM UTC+1","Femme","30 à 49 ans","33000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/14 5:24:37 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Application sur smartphone"
"2020/10/14 5:25:08 PM UTC+1","Femme","50 à 64 ans","34110 ","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/14 5:27:36 PM UTC+1","Homme","50 à 64 ans","35235","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/14 6:19:20 PM UTC+1","Homme","16 à 29 ans","56390","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/14 7:10:44 PM UTC+1","Homme","50 à 64 ans","56600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Oui","Oui","Non","Non","Non","pas besoin de vous"
"2020/10/14 7:11:08 PM UTC+1","Femme","> 65 ans","66000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/14 7:31:08 PM UTC+1","Homme","16 à 29 ans","35650","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Stand;Exposition;Vidéo"
"2020/10/14 8:39:10 PM UTC+1","Femme","30 à 49 ans","43400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
